model,dataset,fpr,tpr,threshold
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05838580423583286,0.20937042459736457,0.5465729048090374
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05838580423583286,0.2108345534407028,0.5456163356357691
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.05838580423583286,0.21522693997071743,0.5455648612586559
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.0589582140812822,0.21522693997071743,0.542736257068851
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06010303377218088,0.21522693997071743,0.541900441848839
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06239267315397825,0.21522693997071743,0.5394699751971529
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06239267315397825,0.21669106881405564,0.5394054787249656
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06296508299942759,0.21669106881405564,0.5379897883659857
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06296508299942759,0.21815519765739386,0.5360977151726373
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06410990269032628,0.21961932650073207,0.5352745988855846
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06639954207212365,0.21961932650073207,0.5329600418617573
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06639954207212365,0.22108345534407028,0.5327933899926562
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06754436176302232,0.22108345534407028,0.532321992295852
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06754436176302232,0.2225475841874085,0.5319958731995262
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06811677160847167,0.2225475841874085,0.5316712915918806
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06811677160847167,0.22840409956076135,0.5285124811611004
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06811677160847167,0.2342606149341142,0.5274786048359486
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06811677160847167,0.23572474377745242,0.5272589003224707
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06926159129937035,0.23572474377745242,0.5264648887776031
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.06926159129937035,0.23718887262079064,0.5263958037949213
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07097882083571837,0.23718887262079064,0.5257225121820629
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07212364052661706,0.23718887262079064,0.521980945739091
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07212364052661706,0.23865300146412885,0.5216254187423691
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07326846021751574,0.24158125915080528,0.5208286155441614
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07326846021751574,0.2430453879941435,0.5202435053854282
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07384087006296508,0.2430453879941435,0.5201737883226044
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07384087006296508,0.24890190336749635,0.5194450834529338
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07441327990841443,0.24890190336749635,0.5194066996914232
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07441327990841443,0.25036603221083453,0.5180550687061145
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07498568975386377,0.25036603221083453,0.5164491534099257
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07613050944476245,0.25036603221083453,0.5157569900446662
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07613050944476245,0.2518301610541728,0.5149688006019646
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07727532913566114,0.2518301610541728,0.5147412612156477
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07727532913566114,0.2547584187408492,0.5140250069745412
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.07784773898111047,0.2562225475841874,0.5138024195242403
Logistic A-only,Primary ID-isolated Wave 3 common subset,0.08013737836290784,0.2562225475841874,0.5121450259993824
